DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,024500,Académie Marie-Claire,Académie Marie-Claire,"18190, boulevard Elkas",,66102,Kirkland,V,H9J3Y4,Établissement d'enseignement privé,Privé,https://www.amcedu.ca,-73.883374,45.443047,514 697-9995
,025500,Académie Marie-Laurier,Académie Marie-Laurier,"1555, avenue Stravinski",,58007,Brossard,V,J4X2H5,Établissement d'enseignement privé,Privé,https://www.marielaurier.com,-73.492023,45.443681,450 923-2787
,026500,Académie Michèle-Provost,Académie Michèle-Provost,"1517, avenue Des Pins Ouest",,66023,Montréal,V,H3G1B3,Établissement d'enseignement privé,Privé,https://www.academiemicheleprovost.qc.ca,-73.586753,45.498468,514 934-0596
,027500,Académie Saint-Louis,Académie Saint-Louis,"1500, rue de la Rive-Boisée Sud",,23027,Québec,V,G2C2B3,Établissement d'enseignement privé,Privé,https://www.aslouis.qc.ca,-71.315332,46.829964,418 845-5121
,029500,Académie Ste-Thérèse,Académie Ste-Thérèse,"425, rue Blainville Est ",,73010,Sainte-Thérèse,V,J7E1N7,Établissement d'enseignement privé,Privé,https://www.academie.ste-therese.com,-73.816268,45.6402,450 434-1130
,030500,Académie Solomon Schechter,Académie Solomon Schechter,"5555, chemin de la Côte-Saint-Luc",,66023,Montréal,V,H3X2C9,Établissement d'enseignement privé,Privé,,-73.628583,45.478974,514 485-0866
,032500,Aviron Québec Collège Technique,Aviron Québec Collège Technique,"1275, rue De La Jonquière",,23027,Québec,V,G1N3X2,Établissement d'enseignement privé,Privé,https://www.avironquebec.com,-71.263717,46.80502,418 266-0804
,033500,Bishop's college school,Bishop's college school,"80, chemin Moulton Hill ",,43027,Sherbrooke,V,J1M1Z8,Établissement d'enseignement privé,Privé,https://www.bishopscollegeschool.com,-71.843327,45.372191,819 566-0227
,034500,Centre académique de Lanaudière,Centre académique de Lanaudière,"930, boulevard l'Assomption",,60013,Repentigny,V,J6A5H5,Établissement d'enseignement privé,Privé,https://www.lecadl.com,-73.448635,45.77014,450 654-5026
,035500,Centre académique Fournier inc.,Centre académique Fournier inc.,"5919, boulevard Henri-Bourassa Ouest",,66023,Montréal,V,H4R1B7,Établissement d'enseignement privé,Privé,https://www.academiefournier.qc.ca,-73.718233,45.516415,514 321-2642
,037500,Centre d'intégration scolaire inc.,Centre d'intégration scolaire inc.,"8844, rue Notre-Dame Est",,66023,Montréal,V,H1L3M4,Établissement d'enseignement privé,Privé,https://www.centereitegrationscolaire.ca,-73.511583,45.600686,514 374-8490
,041500,École trilingue Vision Varennes,École trilingue Vision Varennes,"104, boulevard de la Marine",,59020,Varennes,V,J3X1Z5,Établissement d'enseignement privé,Privé,https://varennes.ecolevision.com/,-73.43238,45.6637,450 652-6869
,044500,Centre François-Michelle,Centre François-Michelle,"9275, rue Clark",,66023,Montréal,V,H2N1S1,Établissement d'enseignement privé,Privé,https://www.francois-michelle.qc.ca,-73.650734,45.543547,514 381-4418
,046500,École Montessori de Chelsea,École Montessori de Chelsea,"490, route 105, bureau 105",,82025,Chelsea,M,J9B1L2,Établissement d'enseignement privé,Privé,https://www.montessorichelsea.ca,-75.782423,45.505866,819 827-2784
,048500,École Montessori de Montréal,École Montessori de Montréal,"1505, rue Serre",,66023,Montréal,V,H8N1N3,Établissement d'enseignement privé,Privé,https://ecolemontessorimontreal.com,-73.623971,45.432249,514 363-6603
,053500,École St-François,École St-François,"1000, rue du Joli-Bois",,23027,Québec,V,G1V3Z6,Établissement d'enseignement privé,Privé,https://www.cppq.qc.ca,-71.289556,46.774932,418 650-1171
,056500,Collège Beaubois,Collège Beaubois,"4901, rue du Collège-Beaubois",,66023,Montréal,V,H8Y3T4,Établissement d'enseignement privé,Privé,https://www.collegebeaubois.qc.ca,-73.779589,45.507751,514 684-7642
