DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,ORDRE_ENS,STYLE_CART,CD_REG_ADM,NOM_MRC,NOM_REG_ADM,NOM_CEP,LANG_ENS,NO_TEL
,900001,Pavillon Gaspésie (section angl.),Gaspésie Pavillon (section anglophone),"96, rue Jacques-Cartier",,03005,Gaspé,V,G4X2S8,Centre d'enseignement,Public,https://www.cegepgim.ca/,-64.484948,48.834178,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,anglais,418 368-2201
,900004,Centre collégial Carleton-sur-mer,Centre d'études collégiales Carleton-sur-mer,"776, boul. Perron",Case postale 1000,06013,Carleton-sur-Mer,V,G0C1J0,Centre d'enseignement,Public,https://www.cegepgim.ca/,-66.106665,48.102258,Collégial,1_Public,11,Avignon,Gaspésie–Îles-de-la-Madeleine,Bonaventure,français,418 364-3341
,900005,École des pêches et de l'aquaculture,École des pêches et de l'aquaculture du Québec,"167, La Grande Allée Est",C.P. 220,02015,Grande-Rivière,V,G0C1V0,Centre d'enseignement,Public,https://www.cegepgim.ca/,-64.489245,48.395821,Collégial,1_Public,11,Le Rocher-Percé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français,418 385-2241
,900006,Centre études coll. Iles-Madeleine,Centre d'études collégiales des Îles-de-la-Madeleine,"15, chemin de la Piscine",Case postale 238,01023,Les Îles-de-la-Madeleine,M,G4T3X4,Centre d'enseignement,Public,https://www.cegepgim.ca/,-61.91541,47.372043,Collégial,1_Public,11,Communauté maritime des Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,Îles-de-la-Madeleine,français,418 986-5187
,900007,Campus de Montréal / Montreal Campus,Campus de Montréal / Montreal Campus,"577, boul Henri-Bourassa Est",,66023,Montréal,V,H2C1E2,Centre d'enseignement,Public,https://www.cegepgim.ca,-73.66865,45.55575,Collégial,1_Public,06,Montréal,Montréal,Maurice-Richard,anglais,418 368-2201
,900091,MERINOV,"MERINOV - Centre intégré de rech. industr. en techn. des pêches, de l'aquacult., de la transf. et des bioress. marines","96, montée de Sandy-Beach, bureau 2.05",,03005,Gaspé,V,G4X2V6,Centre collégial de transfert de technologie,Public,https://www.merinov.ca,-64.469002,48.822614,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,,418 368-7371
,900092,NERGICA,NERGICA - Centre de recherche et d'innovation en énergies renouvelables,"70, rue Bolduc",,03005,Gaspé,V,G4X1G2,Centre collégial de transfert de technologie,Public,https://www.nergica.com,-64.48659,48.834075,Collégial,1_Public,11,La Côte-de-Gaspé,Gaspésie–Îles-de-la-Madeleine,Gaspé,français,418 368-6162
,900093,CIRADD,CIRADD - Centre d'initiation à la recherche et d'aide au développement durable,"776, boulevard Perron",Campus de Carleton-sur-Mer,06013,Carleton-sur-Mer,V,G0C1J0,Centre collégial de transfert de technologie,Public,https://www.ciradd.ca,-66.106665,48.102258,Collégial,1_Public,11,Avignon,Gaspésie–Îles-de-la-Madeleine,Bonaventure,français,418 364-3341
,901000,Cégep de Rimouski,Cégep de Rimouski,"60, rue de l'Évêché Ouest",,10043,Rimouski,V,G5L4H6,Cégep,Public,https://www.cegep-rimouski.qc.ca/,-68.527809,48.448244,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français,418 723-1880
,901001,Institut maritime du Québec,Institut maritime du Québec,"53, rue Saint-Germain Ouest",,10043,Rimouski,V,G5L4B4,Établissement d'enseignement,Public,https://www.imq.qc.ca/,-68.52951,48.449752,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français,418 724-2822
,901002,Centre matapédien études collégiales,Centre matapédien d'études collégiales (Cégep de Rimouski),"92, rue Desbiens",,07047,Amqui,V,G5J3P6,Centre d'enseignement,Public,https://www.centre-matapedien.qc.ca/,-67.428984,48.467585,Collégial,1_Public,01,La Matapédia,Bas-Saint-Laurent,Matane-Matapédia,français,418 629-4190
,901090,SEREX,SEREX - Corporation du service de recherche et d'expertise en transformation des produits forestiers de l'Est-du-Québec,"25, rue Armand-Sinclair",Porte 5,07047,Amqui,V,G5J1K3,Centre collégial de transfert de technologie,Public,https://www.serex.ca,-67.436433,48.470431,Collégial,1_Public,01,La Matapédia,Bas-Saint-Laurent,Matane-Matapédia,français,418 629-2288
,901091,IMAR,IMAR - Innovation maritime,"53, rue Saint-Germain Ouest",,10043,Rimouski,V,G5L4B4,Centre collégial de transfert de technologie,Public,https://www.innovationmaritime.ca,-68.52951,48.449752,Collégial,1_Public,01,Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,français,418 725-3525
,902000,Cégep Limoilou,Cégep Limoilou,"1300, 8e Avenue",,23027,Québec,V,G1J5L5,Cégep,Public,https://www.cegeplimoilou.ca,-71.227303,46.829949,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Lesage,français,418 647-6600
,902002,Cégep Limoilou (Campus Charlesbourg),"Cégep Limoilou, campus de Charlesbourg","7600, 3e Avenue Est",,23027,Québec,V,G1H7L4,Centre d'enseignement,Public,https://www.cegeplimoilou.ca,-71.26066,46.861673,Collégial,1_Public,03,Québec,Capitale-Nationale,Charlesbourg,français,418 647-6600
,903000,Cégep de Sainte-Foy,Cégep de Sainte-Foy,"2410, chemin Sainte-Foy",,23027,Québec,V,G1V1T3,Cégep,Public,https://www.cegep-ste-foy.qc.ca/,-71.286551,46.786243,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,français,418 659-6600
,903090,CERFO,CERFO - Centre d'enseignement et de recherche en foresterie de Sainte-Foy inc.,2440 chemin Sainte-Foy,,23027,Québec,V,G1V1T2,Centre collégial de transfert de technologie,Public,https://www.cerfo.qc.ca/,-71.28542,46.785081,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,,418 659-4225
,903091,CIMMI,CIMMI - Centre en imagerie numérique et médias interactifs,"2440, chemin Sainte-Foy",,23027,Québec,V,G1V1T2,Centre collégial de transfert de technologie,Public,https://www.cimmi.ca,-71.28542,46.785081,Collégial,1_Public,03,Québec,Capitale-Nationale,Jean-Talon,,418 781-2464
,904000,Cégep de Sherbrooke,Cégep de Sherbrooke,"475, rue du Cégep",,43027,Sherbrooke,V,J1E4K1,Cégep,Public,https://cegepsherbrooke.qc.ca/,-71.886249,45.411134,Collégial,1_Public,05,Sherbrooke,Estrie,Saint-François,français,819 564-6350
,904001,Cégep de Granby,Cégep de Granby,"235, rue Saint-Jacques",,47017,Granby,V,J2G3N1,Cégep,Public,https://www.cegepgranby.qc.ca,-72.730172,45.399337,Collégial,1_Public,05,La Haute-Yamaska,Estrie,Granby,français,450 372-6614
,904002,Site d'enseignement d'Asbestos,Site d'enseignement d'Asbestos,"360, boulevard Saint-Luc",,40043,Val-des-Sources,V,J1T2W5,Centre d'enseignement,Public,https://www.cegepsherbrooke.qc.ca,-71.937666,45.77872,Collégial,1_Public,05,Les Sources,Estrie,Richmond,français,819 564-6350
,904090,PRODUCTIQUE QUÉBEC,PRODUCTIQUE QUÉBEC - Centre de recherche et d'innovation en technologies numériques,"720, rue Longpré",,43027,Sherbrooke,V,J1G4L3,Centre collégial de transfert de technologie,Public,https://www.productique.quebec,-71.859039,45.397303,Collégial,1_Public,05,Sherbrooke,Estrie,Saint-François,,819 822-8998
,905000,Cégep de Trois-Rivières,Cégep de Trois-Rivières,"3500, rue De Courval",Case postale 97,37067,Trois-Rivières,V,G9A5E6,Cégep,Public,https://www.cegeptr.qc.ca/,-72.572851,46.355241,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,français,819 376-1721
,905090,INNOFIBRE,INNOFIBRE - Centre d'innovation des produits cellulosiques,"3351, boulevard des Forges",Case postale 500,37067,Trois-Rivières,V,G9A5H7,Centre collégial de transfert de technologie,Public,https://innofibre.ca/,-72.57778,46.348038,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,,819 376-5011
,905091,CMQ,CMQ - Centre de métallurgie du Québec,"3095, rue Westinghouse",Parc industriel des Hautes Forges,37067,Trois-Rivières,V,G9A5E1,Centre collégial de transfert de technologie,Public,https://www.cmqtr.qc.ca,-72.654718,46.371846,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,,819 376-8707
,905092,C2T3,C2T3 - Centre collégial de transfert de technologie en télécommunications,"1300, Place du Technoparc, 2e étage",,37067,Trois-Rivières,V,G9A0A9,Centre collégial de transfert de technologie,Public,https://www.c2t3.qc.ca,-72.539105,46.352897,Collégial,1_Public,04,Trois-Rivières,Mauricie,Trois-Rivières,,819 840-5504
,906000,Cégep de Shawinigan,Cégep de Shawinigan,"2263, avenue du Collège",,36033,Shawinigan,V,G9N6V8,Cégep,Public,https://www.cegepshawinigan.ca,-72.752777,46.563624,Collégial,1_Public,04,Shawinigan,Mauricie,Laviolette-Saint-Maurice,français,819 539-6401
,906001,Centre d'études de La Tuque,Centre d'études collégiales de La Tuque,"290, rue Saint-Joseph",,90012,La Tuque,V,G9X3Z8,Centre d'enseignement,Public,https://www.cegepshawinigan.ca,-72.785306,47.441173,Collégial,1_Public,04,La Tuque,Mauricie,Laviolette-Saint-Maurice,français,819 523-9531
,906090,CNETE,CNETE - Centre national en électrochimie et en technologies environnementales inc.,"2263, avenue du Collège",,36033,Shawinigan,V,G9N6V8,Centre collégial de transfert de technologie,Public,https://www.cnete.qc.ca/,-72.752777,46.563624,Collégial,1_Public,04,Shawinigan,Mauricie,Laviolette-Saint-Maurice,,819 539-8508
,907001,Cégep de Drummondville,Cégep de Drummondville,"960, rue Saint-Georges",,49058,Drummondville,V,J2C6A2,Cégep,Public,https://www.cegepdrummond.ca,-72.505978,45.873671,Collégial,1_Public,17,Drummond,Centre-du-Québec,Johnson,français,819 478-4671
